Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;Totalt i retning Dramsvegen nord;11;100,0;24;24;0;11;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;Totalt i retning Grønnåsen;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;Totalt;14;100,0;24;24;0;14;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;2022-01-15;1;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;2022-01-15;2;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;2022-01-15;Totalt i retning Dramsvegen nord;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;2022-01-15;Totalt i retning Grønnåsen;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-15T00:00+01:00;2022-01-16T00:00+01:00;2022-01-15;Totalt;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;2022-01-16;1;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;2022-01-16;2;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
